Ablation,Metric,Full_minus_Ablation,McNemar_p,Holm_adjusted_p,Significant
w/o GMF,Accuracy,-0.0025510204081632404,1.0,1.0,False
w/o GMF,Precision,-0.015471167369901506,1.0,1.0,False
w/o GMF,Recall,0.014084507042253613,1.0,1.0,False
w/o GMF,F1,-0.0020338983050847137,1.0,1.0,False
w/o GMF,ROC-AUC,0.0011267605633803468,1.0,1.0,False
w/o GMF,PR-AUC,0.0005220323346640798,1.0,1.0,False
w/o GMF,Brier,0.0323446174429875,1.0,1.0,False
w/o LFIE,Accuracy,-0.03316326530612246,0.00360934693594544,0.01082804080783632,True
w/o LFIE,Precision,-0.0911212855732112,0.00360934693594544,0.01082804080783632,True
w/o LFIE,Recall,0.014084507042253613,0.00360934693594544,0.01082804080783632,True
w/o LFIE,F1,-0.04113074204946987,0.00360934693594544,0.01082804080783632,True
w/o LFIE,ROC-AUC,-0.0024788732394365187,0.00360934693594544,0.01082804080783632,True
w/o LFIE,PR-AUC,-9.78273792432427e-05,0.00360934693594544,0.01082804080783632,True
w/o LFIE,Brier,0.04456812755713639,0.00360934693594544,0.01082804080783632,True
w/o Trust,Accuracy,-0.015306122448979553,0.11384629800665763,0.22769259601331526,False
w/o Trust,Precision,-0.039915611814346,0.11384629800665763,0.22769259601331526,False
w/o Trust,Recall,0.007042253521126751,0.11384629800665763,0.22769259601331526,False
w/o Trust,F1,-0.01835616438356158,0.11384629800665763,0.22769259601331526,False
w/o Trust,ROC-AUC,-0.0003380281690139597,0.11384629800665763,0.22769259601331526,False
w/o Trust,PR-AUC,-0.0007006867509021797,0.11384629800665763,0.22769259601331526,False
w/o Trust,Brier,0.03697103185427378,0.11384629800665763,0.22769259601331526,False
