Evaluation,Model,Accuracy,Precision,Recall,F1,ROC-AUC,PR-AUC,Brier
Random-split,Logistic Regression,0.6938775510204082,0.6309523809523809,0.3732394366197183,0.4690265486725664,0.7246760563380281,0.5680764507100111,0.20261422322490952
Random-split,Random Forest,0.9923469387755102,0.986013986013986,0.9929577464788732,0.9894736842105263,0.9987042253521127,0.9973938929840929,0.010047250566893423
Random-split,MLP,0.8622448979591837,0.7244897959183674,1.0,0.8402366863905325,0.8924788732394366,0.7497826833037587,0.10360550456052053
Random-split,HydroFlowNet-XF,0.9387755102040817,0.8734177215189873,0.971830985915493,0.92,0.9911830985915494,0.9829208364239869,0.1127910551459647
Trajectory-independent,Logistic Regression,0.6275510204081632,1.0,0.0759493670886076,0.1411764705882353,0.7293357135129287,0.7415185506686903,0.2168358662095876
Trajectory-independent,Random Forest,0.9540816326530612,1.0,0.8860759493670886,0.9395973154362416,0.9998241912798875,0.9996832799479698,0.05428356009070295
Trajectory-independent,MLP,0.7602040816326531,0.8137254901960784,0.5253164556962026,0.6384615384615384,0.932949258898626,0.8379383145806445,0.10782007721129747
Trajectory-independent,LSTM,0.9030612244897959,0.8061224489795918,1.0,0.8926553672316384,0.9324624039813912,0.844984875136322,0.07938126248614111
Trajectory-independent,TCN,0.9030612244897959,0.8061224489795918,1.0,0.8926553672316384,0.9303256518446392,0.8478259978324834,0.08201179466792476
Trajectory-independent,HydroFlowNet-XF,0.9821428571428571,0.968944099378882,0.9873417721518988,0.9780564263322884,0.998187817808071,0.9973471166527583,0.0787874882567288
Ablation,HydroFlowNet-XF,0.9387755102040817,0.8734177215189873,0.971830985915493,0.92,0.9911830985915494,0.9829208364239869,0.1127910551459647
Ablation,w/o GMF,0.9413265306122449,0.8888888888888888,0.9577464788732394,0.9220338983050848,0.9900563380281691,0.9823988040893228,0.0804464377029772
Ablation,w/o LFIE,0.9719387755102041,0.9645390070921985,0.9577464788732394,0.9611307420494699,0.9936619718309859,0.9830186638032301,0.06822292758882831
Ablation,w/o Trust,0.9540816326530612,0.9133333333333333,0.9647887323943662,0.9383561643835616,0.9915211267605634,0.983621523174889,0.07582002329169092
