Risk Component,Physical Variable,Pearson r,Pearson p,Spearman rho,Spearman p,N
accumulation_density,water_depth_proxy,0.7057448318348722,2.4033339288417576e-60,0.6758125595716813,1.271195104516427e-53,392
accumulation_density,velocity_proxy,0.5537768994400016,6.978516451035709e-33,0.6530487457706167,5.10223169182829e-49,392
accumulation_density,velocity_variation,0.2568905016261254,2.513090606259328e-07,0.4511746268681144,4.704947853575106e-21,392
accumulation_density,spatial_variation,,,,,392
surge_density,water_depth_proxy,-0.3992669037444102,1.962100930360924e-16,-0.4862437255182924,1.1775153940214657e-24,392
surge_density,velocity_proxy,-0.6416343309712874,7.410087949088537e-47,-0.6982343999228414,1.3999331278707378e-58,392
surge_density,velocity_variation,-0.25751047137678357,2.3458992211787236e-07,-0.5240578543547523,4.9228530635466417e-29,392
surge_density,spatial_variation,,,,,392
turbulence_density,water_depth_proxy,0.02787071060594322,0.5822119619404202,0.0958829374985323,0.057868217596546326,392
turbulence_density,velocity_proxy,0.32702316893131417,3.1920889483229725e-11,0.3842803495613263,3.0456754022463456e-15,392
turbulence_density,velocity_variation,0.3393817188494195,5.058545208614438e-12,0.3866890968072787,1.978504127487505e-15,392
turbulence_density,spatial_variation,,,,,392
